activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104603,nM,10000.0,uM,10.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104602,nM,10000.0,uM,10.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCCCCCCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104601,nM,12000.0,uM,12.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104600,nM,4200.0,uM,4.2,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCS)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104599,nM,1000.0,uM,1.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104598,nM,216000.0,uM,216.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104597,nM,178000.0,uM,178.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104596,nM,39000.0,uM,39.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCCCCCCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104595,nM,40000.0,uM,40.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104594,nM,32000.0,uM,32.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCS)(C(=O)O)C[C@@H]1N,CHEMBL3104593,nM,178000.0,uM,178.0,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,50.0,uM,0.05,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,40.0,uM,0.04,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](NC(N)=O)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104604,nM,570.0,uM,0.57,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104603,nM,1100.0,uM,1.1,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104602,nM,2500.0,uM,2.5,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCCCCCCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104601,nM,730.0,uM,0.73,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCSC2(C(=O)O)C[C@H](NC(=N)N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104600,nM,200.0,uM,0.2,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCS)(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3104599,nM,100.0,uM,0.1,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104598,nM,85000.0,uM,85.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCOCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104597,nM,64000.0,uM,64.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCOCCOCCOCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104596,nM,28000.0,uM,28.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCCCCCCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104595,nM,31000.0,uM,31.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCSC2(C(=O)O)C[C@H](N)[C@@H](NC(C)=O)[C@H]([C@H](O)[C@H](O)CO)O2)(C(=O)O)C[C@@H]1N,CHEMBL3104594,nM,20000.0,uM,20.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(SCCCCCCS)(C(=O)O)C[C@@H]1N,CHEMBL3104593,nM,127000.0,uM,127.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,100.0,nM,100.0,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,14.5,nM,14.5,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,3.4,nM,3.4,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,2.3,nM,2.3,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,1.87,nM,1.87,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,1.79,nM,1.79,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,1.3,nM,1.3,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,0.99,nM,0.99,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,0.83,nM,0.83,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,0.75,nM,0.75,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.66,nM,0.66,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,0.63,nM,0.63,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.49,nM,0.49,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.45,nM,0.45,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,0.45,nM,0.45,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,0.44,nM,0.44,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,0.44,nM,0.44,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,0.31,nM,0.31,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(C)=N)[C@H]1NC(C)=O,CHEMBL3120197,nM,0.3,nM,0.3,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.29,nM,0.29,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.2,nM,0.2,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,0.19,nM,0.19,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,0.18,nM,0.18,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,0.17,nM,0.17,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,0.15,nM,0.15,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](NC(=N)N)[C@H]1NC(C)=O,CHEMBL81717,nM,0.15,nM,0.15,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,0.14,nM,0.14,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,0.12,nM,0.12,Neuraminidase
,CCC(CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL674,nM,0.1,nM,0.1,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.05,nM,0.05,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.04,nM,0.04,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.03,nM,0.03,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,0.2,uM,0.0002,Neuraminidase
,CC(C)=CCc1cc(-c2cc(=O)c3cc(CC=C(C)C)c(O)cc3o2)ccc1O,CHEMBL3125437,nM,9180.0,uM,9.18,Neuraminidase
,CC1(C)C=Cc2c(ccc([C@@H]3COc4c(ccc5c4C=CC(C)(C)O5)C3)c2O)O1,CHEMBL464582,nM,2850.0,uM,2.85,Neuraminidase
,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1,CHEMBL600457,nM,5340.0,uM,5.34,Neuraminidase
,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)ccc1O,CHEMBL462721,nM,3060.0,uM,3.06,Neuraminidase
,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,CHEMBL242341,nM,5040.0,uM,5.04,Neuraminidase
,CC1(C)C=Cc2c(ccc3c2OCC(O)C3)O1,CHEMBL3125436,nM,12400.0,uM,12.4,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,80.0,uM,0.08,Neuraminidase
,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c21,CHEMBL469654,nM,4530.0,uM,4.53,Neuraminidase
,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)Oc2cc(O)ccc21,CHEMBL511995,nM,140000.0,uM,140.0,Neuraminidase
,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,CHEMBL252642,nM,8330.0,uM,8.33,Neuraminidase
,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3OC[C@@](O)(COC(=O)c4c[nH]c5ccccc45)[C@@H]3O)cc2)Oc2cc(O)ccc21,CHEMBL3125439,nM,4520.0,uM,4.52,Neuraminidase
,O=C(/C=C/c1ccc(O)cc1)OC[C@]1(O)CO[C@H](O[C@H]2[C@H](Oc3ccc(/C=C/C(=O)c4ccc(O)cc4O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H]1O,CHEMBL3125438,nM,2830.0,uM,2.83,Neuraminidase
,CC1(C)C=Cc2c(ccc([C@@H]3COc4c(ccc5c4C=CC(C)(C)O5)C3)c2O)O1,CHEMBL464582,nM,1200.0,uM,1.2,Neuraminidase
,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1,CHEMBL600457,nM,9420.0,uM,9.42,Neuraminidase
,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)ccc1O,CHEMBL462721,nM,14100.0,uM,14.1,Neuraminidase
,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,CHEMBL242341,nM,5040.0,uM,5.04,Neuraminidase
,CC1(C)C=Cc2c(ccc3c2OCC(O)C3)O1,CHEMBL3125436,nM,30600.0,uM,30.6,Neuraminidase
,CC(C)=CCc1c(O)ccc(C(=O)/C=C/c2cc(O)c3c(c2)C=CC(C)(C)O3)c1O,CHEMBL2204386,nM,1310.0,uM,1.31,Neuraminidase
,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,CHEMBL16901,nM,1390.0,uM,1.39,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,0.5,uM,0.0005,Neuraminidase
,CC(C)=CCc1cc(-c2cc(=O)c3cc(CC=C(C)C)c(O)cc3o2)ccc1O,CHEMBL3125437,nM,14700.0,uM,14.7,Neuraminidase
,CC1(C)C=Cc2c(ccc([C@@H]3COc4c(ccc5c4C=CC(C)(C)O5)C3)c2O)O1,CHEMBL464582,nM,2310.0,uM,2.31,Neuraminidase
,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1,CHEMBL600457,nM,3220.0,uM,3.22,Neuraminidase
,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)ccc1O,CHEMBL462721,nM,3000.0,uM,3.0,Neuraminidase
,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,CHEMBL242341,nM,3040.0,uM,3.04,Neuraminidase
,CC1(C)C=Cc2c(ccc3c2OCC(O)C3)O1,CHEMBL3125436,nM,15500.0,uM,15.5,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,0.3,uM,0.0003,Neuraminidase
,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c21,CHEMBL469654,nM,3000.0,uM,3.0,Neuraminidase
,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)Oc2cc(O)ccc21,CHEMBL511995,nM,83100.0,uM,83.1,Neuraminidase
,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21,CHEMBL252642,nM,2070.0,uM,2.07,Neuraminidase
,O=C1C[C@@H](c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@H]3OC[C@@](O)(COC(=O)c4c[nH]c5ccccc45)[C@@H]3O)cc2)Oc2cc(O)ccc21,CHEMBL3125439,nM,340.0,uM,0.34,Neuraminidase
,O=C(/C=C/c1ccc(O)cc1)OC[C@]1(O)CO[C@H](O[C@H]2[C@H](Oc3ccc(/C=C/C(=O)c4ccc(O)cc4O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H]1O,CHEMBL3125438,nM,40.0,uM,0.04,Neuraminidase
,CC(C)=CCc1cc(-c2cc(=O)c3cc(CC=C(C)C)c(O)cc3o2)ccc1O,CHEMBL3125437,nM,2820.0,uM,2.82,Neuraminidase
,CC1(C)C=Cc2c(ccc([C@@H]3COc4c(ccc5c4C=CC(C)(C)O5)C3)c2O)O1,CHEMBL464582,nM,1110.0,uM,1.11,Neuraminidase
,CC1(C)C=Cc2c(ccc(-c3coc4cc(O)ccc4c3=O)c2O)O1,CHEMBL600457,nM,400.0,uM,0.4,Neuraminidase
,CC(C)=CCc1cc([C@@H]2CC(=O)c3ccc(O)c(CC=C(C)C)c3O2)ccc1O,CHEMBL462721,nM,510.0,uM,0.51,Neuraminidase
,COc1ccc(-c2coc3cc(O)ccc3c2=O)cc1,CHEMBL242341,nM,1370.0,uM,1.37,Neuraminidase
,CC1(C)C=Cc2c(ccc3c2OCC(O)C3)O1,CHEMBL3125436,nM,6470.0,uM,6.47,Neuraminidase
,CC(C)=CCc1c(O)ccc(C(=O)/C=C/c2cc(O)c3c(c2)C=CC(C)(C)O3)c1O,CHEMBL2204386,nM,250.0,uM,0.25,Neuraminidase
,C=CCc1ccc(O)c(-c2ccc(O)c(CC=C)c2)c1,CHEMBL16901,nM,30100.0,uM,30.1,Neuraminidase
,CCC(CC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220176,nM,22000.0,uM,22.0,Neuraminidase
,CCN(CC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220177,nM,25000.0,uM,25.0,Neuraminidase
,CCCN(CCC)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220178,nM,32000.0,uM,32.0,Neuraminidase
,CCN(C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1)C(C)C,CHEMBL3220179,nM,1600.0,uM,1.6,Neuraminidase
,CC(C)N(C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1)C(C)C,CHEMBL3220180,nM,4000.0,uM,4.0,Neuraminidase
,CC(C)N(CCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220181,nM,21000.0,uM,21.0,Neuraminidase
,CC(C)N(CCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL460871,nM,2100.0,uM,2.1,Neuraminidase
,CC(C)N(CCCCCO)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL511178,nM,2000.0,uM,2.0,Neuraminidase
,CC(C)N(CCCC(=O)O)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220182,nM,19000.0,uM,19.0,Neuraminidase
,CC(C)N(CCCCC(=O)O)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL459837,nM,1300.0,uM,1.3,Neuraminidase
,CC(C)N(CCN)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL3220183,nM,46000.0,uM,46.0,Neuraminidase
,CC(C)N(CCc1ccccn1)C(=O)N1C[C@@H](N)[C@@H](C(=O)O)C1,CHEMBL459838,nM,1300.0,uM,1.3,Neuraminidase
,CCN(C(=O)N1C[C@H](C(=O)O)[C@H](NC(=N)N)C1)C(C)C,CHEMBL3220184,nM,13000.0,uM,13.0,Neuraminidase
,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNC(C)=O)C(C)C,CHEMBL3220185,nM,7500.0,uM,7.5,Neuraminidase
,CCC(=O)NC[C@H]1[C@@H](C(=O)O)[C@@H](N)CN1C(=O)N(CC)C(C)C,CHEMBL3220186,nM,16000.0,uM,16.0,Neuraminidase
,C=CC(=O)NC[C@H]1[C@@H](C(=O)O)[C@@H](N)CN1C(=O)N(CC)C(C)C,CHEMBL3220187,nM,96000.0,uM,96.0,Neuraminidase
,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNC(=O)C(F)(F)F)C(C)C,CHEMBL3220188,nM,280.0,uM,0.28,Neuraminidase
,CCN(C(=O)N1C[C@H](N)[C@H](C(=O)O)[C@@H]1CNS(C)(=O)=O)C(C)C,CHEMBL3220439,nM,130000.0,uM,130.0,Neuraminidase
,CCC(CC)NC(=O)[C@@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220440,nM,60.0,uM,0.06,Neuraminidase
,CCC(CC)NC(=O)[C@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220441,nM,25000.0,uM,25.0,Neuraminidase
,CCN(CC)C(=O)[C@@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220442,nM,70.0,uM,0.07,Neuraminidase
,CCCN(CCC)C(=O)[C@@H](NC(C)=O)[C@H]1CC(C(=O)O)C[C@@H]1NC(=N)N,CHEMBL3220443,nM,43.0,uM,0.043,Neuraminidase
,CC(=O)N[C@H]1[C@H](O)C=C(C(=O)O)C[C@@H]1N,CHEMBL81159,nM,6300000.0,uM,6300.0,Neuraminidase
,CO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL312047,nM,3700000.0,uM,3700.0,Neuraminidase
,CCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL309419,nM,2000000.0,uM,2000.0,Neuraminidase
,CCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL54758,nM,180000.0,uM,180.0,Neuraminidase
,CCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL79908,nM,300000.0,uM,300.0,Neuraminidase
,CCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL83932,nM,200000.0,uM,200.0,Neuraminidase
,CCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL82771,nM,150000.0,uM,150.0,Neuraminidase
,CCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81953,nM,270000.0,uM,270.0,Neuraminidase
,CCCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81637,nM,180000.0,uM,180.0,Neuraminidase
,CCCCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL418913,nM,210000.0,uM,210.0,Neuraminidase
,CCCCCCCCCCO[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL311274,nM,600000.0,uM,600.0,Neuraminidase
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OCC(C)C,CHEMBL79524,nM,200000.0,uM,200.0,Neuraminidase
,CCC(C)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL309192,nM,10000.0,uM,10.0,Neuraminidase
,CC[C@H](C)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL3220444,nM,9000.0,uM,9.0,Neuraminidase
,C=CC[C@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL311288,nM,1000.0,uM,1.0,Neuraminidase
,C=CC[C@@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81777,nM,3000.0,uM,3.0,Neuraminidase
,CCCCCCC[C@H](CC)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL310004,nM,1000.0,uM,1.0,Neuraminidase
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1OC1CCCCC1,CHEMBL51955,nM,60000.0,uM,60.0,Neuraminidase
,CC[C@@H](CC1CCCCC1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL430814,nM,16000.0,uM,16.0,Neuraminidase
,CC[C@@H](CCC1CCCCC1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL315261,nM,1000.0,uM,1.0,Neuraminidase
,CC(=O)N[C@@H]1[C@@H](N)CC(C(=O)O)=C[C@H]1Oc1ccccc1,CHEMBL298659,nM,530000.0,uM,530.0,Neuraminidase
,CC[C@@H](Cc1ccccc1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL460452,nM,620000.0,uM,620.0,Neuraminidase
,CC[C@@H](CCc1ccccc1)O[C@@H]1C=C(C(=O)O)C[C@H](N)[C@H]1NC(C)=O,CHEMBL81286,nM,300.0,uM,0.3,Neuraminidase
