activity_comment,canonical_smiles,molecule_chembl_id,standard_units,standard_value,units,value,pref_name
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,140.0,nM,140.0,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,1.18,nM,1.18,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,37.2,nM,37.2,Neuraminidase
,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,CHEMBL141530,ug.mL-1,2.19,ug ml-1,2.19,Neuraminidase
,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,CHEMBL141530,ug.mL-1,2.49,ug ml-1,2.49,Neuraminidase
,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,CHEMBL129795,ug.mL-1,3.42,ug ml-1,3.42,Neuraminidase
,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,CHEMBL129795,ug.mL-1,3.48,ug ml-1,3.48,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,ug.mL-1,4.2,ug ml-1,4.2,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,0.00494,ng/ml,4.94,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,5.13,ug ml-1,5.13,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,ug.mL-1,5.42,ug ml-1,5.42,Neuraminidase
,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,CHEMBL141530,ug.mL-1,5.7,ug ml-1,5.7,Neuraminidase
,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,CHEMBL141530,ug.mL-1,5.8,ug ml-1,5.8,Neuraminidase
,COc1cc(O)ccc1/C=C/C(=O)c1ccc(O)cc1,CHEMBL141530,ug.mL-1,8.23,ug ml-1,8.23,Neuraminidase
,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,CHEMBL129795,ug.mL-1,8.41,ug ml-1,8.41,Neuraminidase
,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,CHEMBL129795,ug.mL-1,9.69,ug ml-1,9.69,Neuraminidase
,O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,CHEMBL129795,ug.mL-1,10.56,ug ml-1,10.56,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,ug.mL-1,17.98,ug ml-1,17.98,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,ug.mL-1,18.23,ug ml-1,18.23,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2)c(OC)cc1O,CHEMBL139702,ug.mL-1,19.09,ug ml-1,19.09,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,0.02109,ng/ml,21.09,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)cc(O)c1O,CHEMBL253677,ug.mL-1,25.87,ug ml-1,25.87,Neuraminidase
,COc1c(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2)ccc(O)c1O,CHEMBL1644932,ug.mL-1,28.62,ug ml-1,28.62,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)cc(O)c1O,CHEMBL253677,ug.mL-1,32.78,ug ml-1,32.78,Neuraminidase
,COc1c(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2)ccc(O)c1O,CHEMBL1644932,ug.mL-1,35.21,ug ml-1,35.21,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)cc(O)c1O,CHEMBL253677,ug.mL-1,35.5,ug ml-1,35.5,Neuraminidase
,COc1c(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2)ccc(O)c1O,CHEMBL1644932,ug.mL-1,36.52,ug ml-1,36.52,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2O)c(OC)cc1O,CHEMBL1644931,ug.mL-1,37.68,ug ml-1,37.68,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,ug.mL-1,0.03974,ng/ml,39.74,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2O)c(OC)cc1O,CHEMBL1644931,ug.mL-1,41.53,ug ml-1,41.53,Neuraminidase
,C=CC(C)(C)c1cc(/C=C/C(=O)c2ccc(O)cc2O)c(OC)cc1O,CHEMBL1644931,ug.mL-1,42.11,ug ml-1,42.11,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,CHEMBL229885,ug.mL-1,51.59,ug ml-1,51.59,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O,CHEMBL1644933,ug.mL-1,52.96,ug ml-1,52.96,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,CHEMBL229885,ug.mL-1,56.92,ug ml-1,56.92,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)cc2O)ccc1O,CHEMBL229885,ug.mL-1,60.12,ug ml-1,60.12,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O,CHEMBL1644933,ug.mL-1,75.38,ug ml-1,75.38,Neuraminidase
,CC(C)=CCc1cc(/C=C/C(=O)c2ccc(O)c(CC=C(C)C)c2O)ccc1O,CHEMBL1644933,ug.mL-1,83.14,ug ml-1,83.14,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,1.5,nM,1.5,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.8,nM,0.8,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,136.9,nM,136.9,Neuraminidase
,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,CHEMBL1229,nM,1.2,nM,1.2,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,1659.0,nM,1659.0,Neuraminidase
,CC(=O)N[C@H]1[C@H]([C@H](O)[C@H](O)CO)OC(C(=O)O)=C[C@@H]1NC(=N)N,CHEMBL222813,nM,0.7,nM,0.7,Neuraminidase
